n,plus,multi,minus
528,1.9e-05,1.9e-05,2e-05
529,2e-05,2e-05,2e-05
530,2e-05,2e-05,2e-05
531,2e-05,2e-05,2e-05
532,1.9e-05,2e-05,2e-05
533,2e-05,1.9e-05,2e-05
534,2e-05,2e-05,2e-05
535,1.9e-05,2e-05,2e-05
536,2e-05,2e-05,2e-05
537,2e-05,2e-05,2e-05
538,2e-05,2e-05,2.1e-05
539,2e-05,2e-05,2e-05
540,1.9e-05,2e-05,2e-05
541,2e-05,2e-05,2e-05
542,2e-05,2e-05,2.1e-05
543,2e-05,2e-05,2e-05
544,2.7e-05,2e-05,2e-05
545,2.2e-05,2e-05,2.1e-05
546,2e-05,2e-05,2e-05
547,2e-05,2e-05,2e-05
548,2e-05,2e-05,2e-05
549,2e-05,2e-05,2.1e-05
550,2e-05,2e-05,2e-05
551,2e-05,2.1e-05,2e-05
552,2e-05,2e-05,2e-05
553,2e-05,2e-05,2.1e-05
554,2e-05,2e-05,2e-05
555,2e-05,2e-05,2.1e-05
556,2e-05,2.1e-05,2e-05
557,2e-05,2e-05,2.1e-05
558,2e-05,2.2e-05,2e-05
559,2e-05,2.1e-05,2.1e-05
560,2.3e-05,2e-05,2.1e-05
561,2.1e-05,2e-05,2e-05
562,2e-05,2e-05,2e-05
563,2e-05,2e-05,2.5e-05
564,2e-05,2e-05,2.1e-05
565,2.1e-05,2e-05,2e-05
566,2e-05,2e-05,2e-05
567,2e-05,2e-05,2.1e-05
568,2e-05,2e-05,2.1e-05
569,2e-05,2e-05,2.1e-05
570,2e-05,2.1e-05,2e-05
571,2e-05,2e-05,2e-05
572,2e-05,2.1e-05,2e-05
573,2.1e-05,2e-05,2e-05
574,2e-05,2.1e-05,2.1e-05
575,2e-05,2e-05,2.1e-05
576,2e-05,2.1e-05,2e-05
577,2.1e-05,2e-05,2e-05
578,2.1e-05,2e-05,2e-05
579,2e-05,2.1e-05,2.1e-05
580,2e-05,2e-05,2.1e-05
581,2e-05,2.1e-05,2.1e-05
582,2.7e-05,2e-05,2e-05
583,2.1e-05,2.1e-05,2e-05
584,2e-05,2e-05,2e-05
585,2e-05,2.1e-05,2e-05
586,2.1e-05,2e-05,2e-05
587,2e-05,2e-05,2.1e-05
588,2e-05,2.1e-05,2.1e-05
589,2.1e-05,2e-05,2.1e-05
590,2e-05,2.1e-05,2e-05
591,2e-05,2.1e-05,2.1e-05
592,2e-05,2e-05,2.1e-05
593,2.1e-05,2e-05,2.1e-05
594,2.4e-05,2e-05,2.1e-05
595,2.1e-05,2.6e-05,2.1e-05
596,2.1e-05,2.2e-05,2.1e-05
597,2.1e-05,2e-05,2.1e-05
